 All mice were housed in a room with a 12-h light/dark cycle and with controlled humidity and temperature. All of the animals could freely access fresh food and clean water., All mice were housed in a room with a 12-h light/dark cycle and with controlled humidity and temperature. All of the animals could freely access fresh food and clean water.,TRUE,TRUE,7e7d3286-31d1-4376-8373-8445a381b577,, All mice were housed in a room with a 12-h light/dark cycle and with controlled humidity and temperature. All of the animals could freely access fresh food and clean water., All mice were housed in a room with a 12-h light/dark cycle and with controlled humidity and temperature. All of the animals could freely access fresh food and clean water.,TRUE
12-h light/dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,12-h light/dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,TRUE,TRUE,61702aff-9b39-42fe-8c00-c62c2bff42ae,,12-h light/dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,12-h light/dark cycle in a temperature- and humidity-controlled room and given ad libitum access to feed and water.,TRUE
access to food and water ad libitum,access to food and water ad libitum,TRUE,TRUE,aadfb399-9468-4126-8bac-95f20fb9bf16,,access to food and water ad libitum,access to food and water ad libitum,TRUE
All animals were housed in cages under a temperature-controlled environment at 21 °C with access to food and water. Animals were accepted pretrained by researchers 4 days before any experiment,All animals were housed in cages under a temperature-controlled environment at 21 °C with access to food and water. Animals were accepted pretrained by researchers 4 days before any experiment,TRUE,TRUE,971d93e5-4b91-4cdc-884d-1069d7400db7,,All animals were housed in cages under a temperature-controlled environment at 21 °C with access to food and water. Animals were accepted pretrained by researchers 4 days before any experiment,All animals were housed in cages under a temperature-controlled environment at 21 °C with access to food and water. Animals were accepted pretrained by researchers 4 days before any experiment,TRUE
All mice were housed and kept on a 12-hour light:dark cycle with free access to food and water prior to and after surgery,All mice were housed and kept on a 12-hour light:dark cycle with free access to food and water prior to and after surgery,TRUE,TRUE,f068ccce-fdb6-4e46-8644-69d64f427305,,All mice were housed and kept on a 12-hour light:dark cycle with free access to food and water prior to and after surgery,All mice were housed and kept on a 12-hour light:dark cycle with free access to food and water prior to and after surgery,TRUE
Animals were housed under standard 12:12 light‐dark conditions and allowed free water and food,Animals were housed under standard 12:12 light‐dark conditions and allowed free water and food,TRUE,TRUE,bf530f50-f645-4103-8719-029e8d9c9fcb,,Animals were housed under standard 12:12 light‐dark conditions and allowed free water and food,Animals were housed under standard 12:12 light‐dark conditions and allowed free water and food,TRUE
"constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room, and given ad libitum access to feed and water.","constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room, and given ad libitum access to feed and water.",TRUE,TRUE,e8f3a66e-4af1-4db5-94f6-57c198c2ef32,,"constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room, and given ad libitum access to feed and water.","constant 12-h light/12-h dark cycle in a temperature- and humidity-controlled room, and given ad libitum access to feed and water.",TRUE
Food and water were available to all animals ad libitum before and after surgery,Food and water were available to all animals ad libitum before and after surgery,TRUE,TRUE,6ba7f978-80f7-4460-a0d9-0f8042112225,,Food and water were available to all animals ad libitum before and after surgery,Food and water were available to all animals ad libitum before and after surgery,TRUE
housed at a controlled temperature under a 12-hour light-dark cycle. Food and water were available to all animals ad libitum.,housed at a controlled temperature under a 12-hour light-dark cycle. Food and water were available to all animals ad libitum.,TRUE,TRUE,55615754-99dc-4dba-a628-da3b780a3d99,,housed at a controlled temperature under a 12-hour light-dark cycle. Food and water were available to all animals ad libitum.,housed at a controlled temperature under a 12-hour light-dark cycle. Food and water were available to all animals ad libitum.,TRUE
"kept in specific pathogen-free (SPF) and comfortable con- ditions (12-h light/dark cycle, temperature at 25 °C, and humidity at 65%) throughout the experiment","kept in specific pathogen-free (SPF) and comfortable con- ditions (12-h light/dark cycle, temperature at 25 °C, and humidity at 65%) throughout the experiment",TRUE,TRUE,fec0d187-a931-44ba-b015-d8fe5398a17f,,"kept in specific pathogen-free (SPF) and comfortable con- ditions (12-h light/dark cycle, temperature at 25 °C, and humidity at 65%) throughout the experiment","kept in specific pathogen-free (SPF) and comfortable con- ditions (12-h light/dark cycle, temperature at 25 °C, and humidity at 65%) throughout the experiment",TRUE
Mice were housed under standard 12:12 light-dark conditions and allowed free access to water and food,Mice were housed under standard 12:12 light-dark conditions and allowed free access to water and food,TRUE,TRUE,1e244eff-656f-4a3e-b275-5002e5547e76,,Mice were housed under standard 12:12 light-dark conditions and allowed free access to water and food,Mice were housed under standard 12:12 light-dark conditions and allowed free access to water and food,TRUE
